,ID,Commands,Label,seq_out
221,222,meet robert at the entrance follow him and lead him back,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-follow', 5), ('B-follow.per', 6), ('B-take', 8), ('B-take.per', 9)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
222,223,meet patricia at the exit follow her and guide her back,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 5), ('B-follow.per', 6), ('B-take', 8), ('B-take.per', 9)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
223,224,meet robert at the bed follow him and guide him back,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 5), ('B-follow.per', 6), ('B-take', 8), ('B-take.per', 9)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
224,225,please accompany james to the end table you can find him at the desk,"[('B-take', 1), ('B-take.obj', 8), ('B-take.per', 7), ('B-take.per', 2), ('B-take.dest', 6), ('B-take.dest', 5), ('I-take.dest', 6), ('B-find', 9), ('B-find.per', 10), ('B-find.dest', 13)]","['O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'I-take.dest', 'B-take.per', 'B-take.obj', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest']"
225,226,the living room,[],"['O', 'O', 'O']"
226,227,meet skyler at the bed and follow him,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 6), ('B-follow.per', 7)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-follow', 'B-follow.per']"
227,228,tell me what s the heaviest object on the bookcase,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 9)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
228,229,could you please meet francis at the couch follow him and guide him back,"[('B-find', 3), ('B-find.dest', 7), ('B-find.per', 4), ('B-follow', 8), ('B-follow.per', 9), ('B-take', 11), ('B-take.per', 12)]","['O', 'O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
229,230,dump the junk,"[('B-put', 0)]","['B-put', 'O', 'O']"
230,231,take the paprika from the dining room to the end table,"[('B-take', 0), ('B-take.dest', 6), ('B-take.dest', 10), ('B-take.dest', 9), ('I-take.dest', 10), ('B-take.dest', 5), ('I-take.dest', 6), ('B-take.obj', 2)]","['B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest', 'O', 'O', 'B-take.dest', 'I-take.dest']"
231,232,tell me what s the heaviest tableware on the storage table,"[('B-say', 0), ('B-say.per', 1), ('B-say.obj', 6), ('B-say.dest', 9), ('I-say.dest', 10)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'B-say.obj', 'O', 'O', 'B-say.dest', 'I-say.dest']"
232,233,could you deliver snacks to the person waving in the kitchen,"[('B-take', 2), ('B-take.obj', 3), ('B-take.dest', 10)]","['O', 'O', 'B-take', 'B-take.obj', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest']"
233,234,robot please bring me the object behind the apple from the end table,"[('B-take', 2), ('B-take.per', 3), ('B-take.obj', 8), ('B-take.dest', 12), ('B-take.dest', 11), ('I-take.dest', 12)]","['O', 'O', 'B-take', 'B-take.per', 'O', 'O', 'O', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
234,235,could you deliver the bowl to the person waving in the living room,"[('B-take', 2), ('B-take.obj', 4), ('B-take.dest', 12), ('B-take.dest', 11), ('I-take.dest', 12)]","['O', 'O', 'B-take', 'O', 'B-take.obj', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest', 'I-take.dest']"
235,236,tell me the pose of the person at the bookcase,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 9)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
236,237,go to the dining room locate a person standing and tell a joke,"[('B-go', 0), ('B-go.dest', 4), ('B-go.dest', 3), ('I-go.dest', 4), ('B-find', 5), ('B-say', 10)]","['B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'O', 'O', 'O', 'O', 'B-say', 'O', 'O']"
237,238,could you contact elizabeth at the rear entrance and introduce her to everyone in the bedroom,"[('B-find', 2), ('B-find.dest', 7), ('B-find.per', 3), ('B-say', 9), ('B-say.per', 10), ('B-say.dest', 15)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'B-say.dest']"
238,239,please go to the end table meet charlie and follow her,"[('B-go', 1), ('B-go.dest', 5), ('B-go.dest', 4), ('I-go.dest', 5), ('B-find', 6), ('B-find.per', 7), ('B-follow', 9), ('B-follow.per', 10)]","['O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'B-find.per', 'O', 'B-follow', 'B-follow.per']"
239,240,please meet charlie at the dining table and guide her to the end table,"[('B-find', 1), ('B-find.dest', 6), ('B-find.dest', 5), ('I-find.dest', 6), ('B-find.per', 2), ('B-take', 8), ('B-take.per', 9), ('B-take.dest', 13), ('B-take.dest', 12), ('I-take.dest', 13)]","['O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'I-take.dest']"
240,241,meet linda at the dining table follow her and navigate to the living room,"[('B-find', 0), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-find.per', 1), ('B-follow', 6), ('B-follow.per', 7), ('B-go', 9), ('B-go.dest', 13), ('B-go.dest', 12), ('I-go.dest', 13)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest']"
241,242,deliver the cloth to me,"[('B-take', 0), ('B-take.per', 4), ('B-take.obj', 2)]","['B-take', 'O', 'B-take.obj', 'O', 'B-take.per']"
242,243,tell me what s the thinnest cutlery on the side table,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 10), ('B-say.dest', 9), ('I-say.dest', 10), ('B-say.obj', 6)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'B-say.obj', 'O', 'O', 'B-say.dest', 'I-say.dest']"
243,244,tell me the gender of the person at the end table,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 10), ('B-say.dest', 9), ('I-say.dest', 10)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest', 'I-say.dest']"
244,245,navigate to the couch meet michael and escort him,"[('B-go', 0), ('B-go.dest', 3), ('B-find', 4), ('B-find.per', 5), ('B-take', 7), ('B-take.per', 8)]","['B-go', 'O', 'O', 'B-go.dest', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per']"
245,246,please meet francis at the dishwasher follow her and go to the bedroom,"[('B-find', 1), ('B-find.per', 2), ('B-find.dest', 5), ('B-follow', 6), ('B-follow.per', 7), ('B-go', 9), ('B-go.dest', 12)]","['O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest']"
246,247,could you meet john at the dishwasher follow him and navigate to the living room,"[('B-find', 2), ('B-find.per', 3), ('B-find.dest', 6), ('B-follow', 7), ('B-follow.per', 8), ('B-go', 10), ('B-go.dest', 14), ('B-go.dest', 13), ('I-go.dest', 14)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest']"
247,248,find a woman in the kitchen and tell a joke,"[('B-find', 0), ('B-find.dest', 5), ('B-say', 7)]","['B-find', 'O', 'O', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'O', 'O']"
248,249,meet robert and take him,"[('B-find', 0), ('B-find.per', 1), ('B-take', 3), ('B-take.per', 4)]","['B-find', 'B-find.per', 'O', 'B-take', 'B-take.per']"
249,250,please find francis at the desk and ask him to leave,"[('B-find', 1), ('B-find.dest', 5), ('B-find.per', 2), ('B-say', 7), ('B-say.per', 8)]","['O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.per', 'O', 'O']"
250,251,please bring me the fruits,"[('B-take', 1), ('B-take.per', 2)]","['O', 'B-take', 'B-take.per', 'O', 'O']"
251,252,lead alex from the bed to the exit,"[('B-take', 0), ('B-take.dest', 4), ('B-take.dest', 7), ('B-take.per', 1)]","['B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'O', 'O', 'B-take.dest']"
252,253,guide alex from the sink to the sink,"[('B-take', 0), ('B-take.dest', 4), ('B-take.per', 1)]","['B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'O', 'O', 'O']"
253,254,bring me the fruits,"[('B-take', 0), ('B-take.per', 1)]","['B-take', 'B-take.per', 'O', 'O']"
254,255,give me the tray,"[('B-take', 0), ('B-take.per', 1), ('B-take.obj', 3)]","['B-take', 'B-take.per', 'O', 'B-take.obj']"
255,256,could you contact mary at the desk and introduce it to charlie at the desk,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-say', 8), ('B-say.obj', 9), ('B-say.dest', 14), ('B-say.per', 11)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.obj', 'O', 'B-say.per', 'O', 'O', 'B-say.dest']"
256,257,please lead jennifer from the bed to the bookcase,"[('B-take', 1), ('B-take.dest', 5), ('B-take.dest', 8), ('B-take.per', 2)]","['O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'O', 'O', 'B-take.dest']"
257,258,guide linda to the sink,"[('B-take', 0), ('B-take.dest', 4), ('B-take.per', 1)]","['B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
258,259,contact patricia at the front entrance and introduce her to all the elders in the bedroom,"[('B-find', 0), ('B-find.dest', 5), ('B-find.per', 1), ('B-say', 7), ('B-say.per', 8), ('B-say.dest', 15)]","['B-find', 'B-find.per', 'O', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
259,260,go to the end table locate the tray and place it on the dining table,"[('B-go', 0), ('B-go.dest', 4), ('B-go.dest', 3), ('I-go.dest', 4), ('B-find', 5), ('B-find.obj', 7), ('B-put', 9), ('B-put.obj', 10), ('B-put.dest', 14), ('B-put.dest', 13), ('I-put.dest', 14)]","['B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'O', 'B-find.obj', 'O', 'B-put', 'B-put.obj', 'O', 'O', 'B-put.dest', 'I-put.dest']"
260,261,could you please tell me the name of the person at the bed,"[('B-say', 3), ('B-say.per', 4), ('B-say.dest', 12)]","['O', 'O', 'O', 'B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
261,262,robot please meet michael and escort him,"[('B-find', 2), ('B-find.per', 3), ('B-take', 5), ('B-take.per', 6)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per']"
262,263,robot please bring me the biggest snacks from the end table,"[('B-take', 2), ('B-take.per', 3), ('B-take.dest', 10), ('B-take.dest', 9), ('I-take.dest', 10), ('B-take.obj', 6)]","['O', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
263,264,could you please give me the bowl,"[('B-take', 3), ('B-take.per', 4), ('B-take.obj', 6)]","['O', 'O', 'O', 'B-take', 'B-take.per', 'O', 'B-take.obj']"
264,265,please give me the right most object from the cupboard,"[('B-take', 1), ('B-take.per', 2), ('B-take.dest', 9)]","['O', 'B-take', 'B-take.per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest']"
265,266,follow francis,"[('B-follow', 0), ('B-follow.per', 1)]","['B-follow', 'B-follow.per']"
266,267,give me the snacks,"[('B-take', 0), ('B-take.per', 1), ('B-take.obj', 3)]","['B-take', 'B-take.per', 'O', 'B-take.obj']"
267,268,deliver snacks to me,"[('B-take', 0), ('B-take.per', 3), ('B-take.obj', 1)]","['B-take', 'B-take.obj', 'O', 'B-take.per']"
268,269,meet alex at the dining table and lead her to the entrance,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-take', 7), ('B-take.per', 8), ('B-take.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
269,270,robot please give me the fruits,"[('B-take', 2), ('B-take.per', 3)]","['O', 'O', 'B-take', 'B-take.per', 'O', 'O']"
270,271,take the chocolate drink to the bookcase,"[('B-take', 0), ('B-take.obj', 3), ('B-take.obj', 2), ('I-take.obj', 3), ('B-take.dest', 6)]","['B-take', 'O', 'B-take.obj', 'I-take.obj', 'O', 'O', 'B-take.dest']"
271,272,take my trolley to the uber,"[('B-take', 0)]","['B-take', 'O', 'O', 'O', 'O', 'O']"
272,273,find a person waving in the bedroom and say something about yourself,"[('B-find', 0), ('B-find.dest', 6), ('B-say', 8)]","['B-find', 'O', 'O', 'O', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'O', 'O', 'O']"
273,274,bring me the heaviest tableware from the storage table,"[('B-take', 0), ('B-take.per', 1), ('B-take.obj', 4), ('B-take.dest', 7), ('I-take.dest', 8)]","['B-take', 'B-take.per', 'O', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
274,275,meet alex and take him,"[('B-find', 0), ('B-find.per', 1), ('B-take', 3), ('B-take.per', 4)]","['B-find', 'B-find.per', 'O', 'B-take', 'B-take.per']"
275,276,could you tell me the pose of the person at the bed,"[('B-say', 2), ('B-say.per', 3), ('B-say.dest', 11)]","['O', 'O', 'B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
276,277,face michael at the dishwasher and ask him to leave,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-say', 6), ('B-say.per', 7)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.per', 'O', 'O']"
277,278,meet william at the sink and follow him,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 6), ('B-follow.per', 7)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-follow', 'B-follow.per']"
278,279,follow skyler from the end table to the living room,"[('B-follow', 0), ('B-follow.dest', 9), ('B-follow.dest', 5), ('B-follow.dest', 4), ('I-follow.dest', 5), ('B-follow.dest', 8), ('I-follow.dest', 9), ('B-follow.per', 1)]","['B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'I-follow.dest', 'O', 'O', 'B-follow.dest', 'I-follow.dest']"
279,280,could you meet michael at the dishwasher and escort him to the dining table,"[('B-find', 2), ('B-find.per', 3), ('B-find.dest', 6), ('B-take', 8), ('B-take.per', 9), ('B-take.dest', 13), ('B-take.dest', 12), ('I-take.dest', 13)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'I-take.dest']"
280,281,meet robin at the bed and follow him,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 6), ('B-follow.per', 7)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-follow', 'B-follow.per']"
281,282,could you meet james at the couch and follow him to the bedroom,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-follow', 8), ('B-follow.per', 9), ('B-follow.dest', 12)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest']"
282,283,could you please take the fork to the cupboard,"[('B-take', 3), ('B-take.obj', 5), ('B-take.dest', 8)]","['O', 'O', 'O', 'B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest']"
283,284,meet alex at the end table follow him and navigate to the dining room,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-follow', 6), ('B-follow.per', 7), ('B-go', 9), ('B-go.dest', 13), ('B-go.dest', 12), ('I-go.dest', 13)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest']"
284,285,please navigate to the sink meet elizabeth and lead her,"[('B-go', 1), ('B-go.dest', 4), ('B-find', 5), ('B-find.per', 6), ('B-take', 8), ('B-take.per', 9)]","['O', 'B-go', 'O', 'O', 'B-go.dest', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per']"
285,286,accompany mary from the couch to the couch,"[('B-take', 0), ('B-take.per', 1), ('B-take.dest', 4)]","['B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'O', 'O', 'O']"
286,287,meet william at the dining table follow him and navigate to the dining room,"[('B-find', 0), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-find.per', 1), ('B-follow', 6), ('B-follow.per', 7), ('B-go', 9), ('B-go.dest', 13), ('B-go.dest', 12), ('I-go.dest', 13)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest']"
287,288,could you meet francis at the exit follow her and navigate to the dining room,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-follow', 7), ('B-follow.per', 8), ('B-go', 10), ('B-go.dest', 14), ('B-go.dest', 13), ('I-go.dest', 14)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest']"
288,289,robot please give me the fruits,"[('B-take', 2), ('B-take.per', 3)]","['O', 'O', 'B-take', 'B-take.per', 'O', 'O']"
289,290,provide drinks to all the children in the bedroom,"[('B-take', 0), ('B-take.obj', 1), ('B-take.dest', 8)]","['B-take', 'B-take.obj', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest']"
290,291,bring me the right most object from the side table,"[('B-take', 0), ('B-take.per', 1), ('B-take.dest', 9), ('B-take.dest', 8), ('I-take.dest', 9)]","['B-take', 'B-take.per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest', 'I-take.dest']"
291,292,robot please bring me the left most object from the side table,"[('B-take', 2), ('B-take.per', 3), ('B-take.dest', 11), ('B-take.dest', 10), ('I-take.dest', 11)]","['O', 'O', 'B-take', 'B-take.per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest', 'I-take.dest']"
292,293,please look for the fruits in the kitchen,"[('B-find', 1), ('B-find.dest', 7)]","['O', 'B-find', 'O', 'O', 'O', 'O', 'O', 'B-find.dest']"
293,294,tell me how many containers there are on the end table,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 10), ('B-say.dest', 9), ('I-say.dest', 10), ('B-say.obj', 4)]","['B-say', 'B-say.per', 'O', 'O', 'B-say.obj', 'O', 'O', 'O', 'O', 'B-say.dest', 'I-say.dest']"
294,295,take the bowl from the dining table and place it on the counter,"[('B-take', 0), ('B-take.obj', 2), ('B-take.dest', 6), ('B-take.dest', 5), ('I-take.dest', 6), ('B-put', 8), ('B-put.obj', 9), ('B-put.dest', 12)]","['B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest', 'O', 'B-put', 'B-put.obj', 'O', 'O', 'B-put.dest']"
295,296,accompany robin to the dishwasher you may find him at the exit,"[('B-take', 0), ('B-take.per', 5), ('B-take.per', 1), ('B-take.dest', 4), ('B-find', 7), ('B-find.per', 8), ('B-find.dest', 11)]","['B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'B-take.per', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest']"
296,297,give drinks to all the elders in the kitchen,"[('B-take', 0), ('B-take.obj', 1), ('B-take.dest', 8)]","['B-take', 'B-take.obj', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest']"
297,298,look for the snacks in the bedroom,"[('B-find', 0), ('B-find.obj', 3), ('B-find.dest', 6)]","['B-find', 'O', 'O', 'B-find.obj', 'O', 'O', 'B-find.dest']"
298,299,robot please follow alex from the desk to the bedroom,"[('B-follow', 2), ('B-follow.dest', 6), ('B-follow.dest', 9), ('B-follow.per', 3)]","['O', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'O', 'O', 'B-follow.dest']"
299,300,robot please meet william at the couch follow him and escort him back,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-follow', 7), ('B-follow.per', 8), ('B-take', 10), ('B-take.per', 11)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
300,301,navigate to the sink meet patricia and follow her,"[('B-go', 0), ('B-go.dest', 3), ('B-find', 4), ('B-find.per', 5), ('B-follow', 7), ('B-follow.per', 8)]","['B-go', 'O', 'O', 'B-go.dest', 'B-find', 'B-find.per', 'O', 'B-follow', 'B-follow.per']"
301,302,robot please bring the cloth to me,"[('B-take', 2), ('B-take.per', 6), ('B-take.obj', 4)]","['O', 'O', 'B-take', 'O', 'B-take.obj', 'O', 'B-take.per']"
302,303,meet jennifer at the dining table and follow her to the living room,"[('B-find', 0), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-find.per', 1), ('B-follow', 7), ('B-follow.per', 8), ('B-follow.dest', 12), ('B-follow.dest', 11), ('I-follow.dest', 12)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'I-follow.dest']"
303,304,follow skyler,"[('B-follow', 0), ('B-follow.per', 1)]","['B-follow', 'B-follow.per']"
304,305,meet skyler at the sink follow her and go to the bedroom,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 5), ('B-follow.per', 6), ('B-go', 8), ('B-go.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest']"
305,306,robot please go to the bedroom find a person lying down and say what day is tomorrow,"[('B-go', 2), ('B-go.dest', 5), ('B-find', 6), ('B-say', 12)]","['O', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'B-find', 'O', 'O', 'O', 'O', 'O', 'B-say', 'O', 'O', 'O', 'O']"
306,307,deliver fruits to me,"[('B-take', 0), ('B-take.per', 3)]","['B-take', 'O', 'O', 'B-take.per']"
307,308,please bring the scrubby to the side table,"[('B-take', 1), ('B-take.dest', 7), ('B-take.dest', 6), ('I-take.dest', 7), ('B-take.obj', 3)]","['O', 'B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
308,309,bring the scrubby to the end table,"[('B-take', 0), ('B-take.dest', 6), ('B-take.dest', 5), ('I-take.dest', 6), ('B-take.obj', 2)]","['B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
309,310,robot please take my valise to the taxi,"[('B-take', 2)]","['O', 'O', 'B-take', 'O', 'O', 'O', 'O', 'O']"
310,311,give me the right most object from the side table,"[('B-take', 0), ('B-take.per', 1), ('B-take.dest', 9), ('B-take.dest', 8), ('I-take.dest', 9)]","['B-take', 'B-take.per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest', 'I-take.dest']"
311,312,go to the bookcase meet robert and accompany him,"[('B-go', 0), ('B-go.dest', 3), ('B-find', 4), ('B-find.per', 5), ('B-take', 7), ('B-take.per', 8)]","['B-go', 'O', 'O', 'B-go.dest', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per']"
312,313,go to the counter look for the bowl and place it on the desk,"[('B-go', 0), ('B-go.dest', 3), ('B-find', 4), ('B-find.obj', 7), ('B-put', 9), ('B-put.obj', 10), ('B-put.dest', 13)]","['B-go', 'O', 'O', 'B-go.dest', 'B-find', 'O', 'O', 'B-find.obj', 'O', 'B-put', 'B-put.obj', 'O', 'O', 'B-put.dest']"
313,314,meet skyler at the dishwasher and lead him to the desk,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-take', 6), ('B-take.per', 7), ('B-take.dest', 10)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
314,315,could you meet skyler at the exit and follow her to the kitchen,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-follow', 8), ('B-follow.per', 9), ('B-follow.dest', 12)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest']"
315,316,meet john at the dining table follow him and lead him back,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-follow', 6), ('B-follow.per', 7), ('B-take', 9), ('B-take.per', 10)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
316,317,go to the dining table meet william and follow him,"[('B-go', 0), ('B-go.dest', 4), ('B-go.dest', 3), ('I-go.dest', 4), ('B-find', 5), ('B-find.per', 6), ('B-follow', 8), ('B-follow.per', 9)]","['B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'B-find.per', 'O', 'B-follow', 'B-follow.per']"
317,318,follow robert from the bed to the kitchen,"[('B-follow', 0), ('B-follow.dest', 4), ('B-follow.dest', 7), ('B-follow.per', 1)]","['B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'O', 'O', 'B-follow.dest']"
318,319,tell me the name of the person in the bedroom,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 9)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
319,320,take the sprite to the bookcase,"[('B-take', 0), ('B-take.obj', 2), ('B-take.dest', 5)]","['B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest']"
320,321,robot please meet skyler at the sink follow him and navigate to the dining room,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-follow', 7), ('B-follow.per', 8), ('B-go', 10), ('B-go.dest', 14), ('B-go.dest', 13), ('I-go.dest', 14)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest']"
321,322,could you please navigate to the entrance meet linda and guide her to the desk,"[('B-go', 3), ('B-go.dest', 6), ('B-find', 7), ('B-find.per', 8), ('B-take', 10), ('B-take.per', 11), ('B-take.dest', 14)]","['O', 'O', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
